Table 1: Approved Canada Emergency Wage Subsidy (CEWS) Claims by Period and Province/Territory of Business Address,,,,,,,,
Claim Period,Province or Territory,Applications Approved Since Launch,Number of Eligible Employees (Line A),Number of Eligible Employees on Leave with Pay (Line AA),Number of Employees Supported by the Program (Line A + Line AA),CEWS Amount Approved Since Launch,Average CEWS Amount per Employee,Percent Distribution of Approved Applications for Each Claim Period
P5: July 5 to August 1,Total - Period 5,246390,4301100,56240,4357330,7544205000,1731,1
P6: August 2 to August 29,Newfoundland and Labrador,2820,41870,260,42130,65823000,1562,0.012
P6: August 2 to August 29,Prince Edward Island,1140,18320,10,18330,26607000,1452,0.0049
P6: August 2 to August 29,Nova Scotia,4860,78480,2760,81240,122648000,1510,0.0207
P6: August 2 to August 29,New Brunswick,4180,68550,190,68740,105671000,1537,0.0178
P6: August 2 to August 29,Quebec,55040,1016780,8910,1025690,1556925000,1518,0.2345
P6: August 2 to August 29,Ontario,88010,1644450,20860,1665310,2624640000,1576,0.375
P6: August 2 to August 29,Manitoba,5680,119590,1140,120740,206391000,1709,0.0242
P6: August 2 to August 29,Saskatchewan,5590,74420,740,75160,120698000,1606,0.0238
P6: August 2 to August 29,Alberta,32280,546100,3520,549620,1052879000,1916,0.1376
P6: August 2 to August 29,British Columbia,34300,514590,5960,520550,825567000,1586,0.1462
P6: August 2 to August 29,Yukon,260,4440,10,4450,6866000,1543,0.0011
P6: August 2 to August 29,Northwest Territories,160,2410,         -,2420,4665000,1928,0.0007
P6: August 2 to August 29,Nunavut,50,1240,20,1250,1875000,1500,0.0002
P6: August 2 to August 29,Missing,300,35180,130,35300,42153000,1194,0.0013
P6: August 2 to August 29,Total - Period 6,234700,4166420,44520,4210940,6763409000,1606,1
P7: August 30 to September 26,Newfoundland and Labrador,2500,36520,150,36660,38157000,1041,0.0121
P7: August 30 to September 26,Prince Edward Island,970,15490,20,15510,13351000,861,0.0047
P7: August 30 to September 26,Nova Scotia,4210,71900,2040,73940,70608000,955,0.0204
P7: August 30 to September 26,New Brunswick,3620,60660,170,60830,56460000,928,0.0175
P7: August 30 to September 26,Quebec,47010,915200,8130,923330,850981000,922,0.2276
P7: August 30 to September 26,Ontario,78340,1524980,13380,1538350,1518589000,987,0.3793
P7: August 30 to September 26,Manitoba,5050,107050,440,107490,131440000,1223,0.0245
P7: August 30 to September 26,Saskatchewan,5020,68790,320,69100,67596000,978,0.0243
P7: August 30 to September 26,Alberta,28950,521820,8350,530170,678285000,1279,0.1401
P7: August 30 to September 26,British Columbia,30210,452710,5380,458090,465936000,1017,0.1463
P7: August 30 to September 26,Yukon,220,3950,20,3970,4402000,1109,0.0011
P7: August 30 to September 26,Northwest Territories,150,2240,         -,2250,2844000,1264,0.0007
P7: August 30 to September 26,Nunavut,50,1320,20,1330,1083000,814,0.0002
P7: August 30 to September 26,Missing,260,28180,150,28330,21732000,767,0.0013
P7: August 30 to September 26,Total - Period 7,206550,3810800,38550,3849360,3921465000,1019,1
P8: September 27 to October 24,Newfoundland and Labrador,1990,30080,110,30190,24976000,827,0.0114
P8: September 27 to October 24,Prince Edward Island,690,10110,         -,10110,7646000,756,0.004
P8: September 27 to October 24,Nova Scotia,3390,57100,2080,59170,47497000,803,0.0194
P8: September 27 to October 24,New Brunswick,2840,49230,90,49320,37118000,753,0.0163
P8: September 27 to October 24,Quebec,38920,758820,8600,767420,567692000,740,0.2225
P8: September 27 to October 24,Ontario,67250,1285880,11210,1297090,1050799000,810,0.3844
P8: September 27 to October 24,Manitoba,4450,95480,350,95830,98625000,1029,0.0255
P8: September 27 to October 24,Saskatchewan,4260,59250,190,59440,47382000,797,0.0243
P8: September 27 to October 24,Alberta,25130,461730,7090,468830,493882000,1053,0.1437
P8: September 27 to October 24,British Columbia,25480,396320,5200,401520,317142000,790,0.1457
P8: September 27 to October 24,Yukon,170,3040,10,3050,1893000,621,0.001
P8: September 27 to October 24,Northwest Territories,120,1860,         -,1860,1756000,944,0.0007
P8: September 27 to October 24,Nunavut,20,710,30,740,633000,855,0.0001
P8: September 27 to October 24,Missing,210,20460,180,20640,12926000,626,0.0012
P8: September 27 to October 24,Total - Period 8,174930,3230060,35150,3265210,2709968000,830,1
P9: October 25 to November 21,Newfoundland and Labrador,1450,21360,80,21440,18598000,867,0.0111
P9: October 25 to November 21,Prince Edward Island,470,5990,         -,6000,4729000,788,0.0036
P9: October 25 to November 21,Nova Scotia,2460,44140,1880,46020,38565000,838,0.0189
P9: October 25 to November 21,New Brunswick,2000,35880,70,35950,28500000,793,0.0154
P9: October 25 to November 21,Quebec,26730,498620,6760,505380,388901000,770,0.2053
P9: October 25 to November 21,Ontario,51030,904280,7740,912030,776436000,851,0.392
P9: October 25 to November 21,Manitoba,3600,77580,450,78040,91158000,1168,0.0277
P9: October 25 to November 21,Saskatchewan,3250,44440,150,44590,39310000,882,0.0249
P9: October 25 to November 21,Alberta,19420,359780,5790,365570,369291000,1010,0.1492
P9: October 25 to November 21,British Columbia,19410,283500,2290,285790,243659000,853,0.1491
P9: October 25 to November 21,Yukon,110,1100,10,1120,1100000,982,0.0008
P9: October 25 to November 21,Northwest Territories,-,-,-,-,-,-,-
P9: October 25 to November 21,Nunavut,-,-,-,-,-,-,-
P9: October 25 to November 21,Missing,160,18550,180,18730,10044000,536,0.0012
P9: October 25 to November 21,Total - Period 9,130160,2296810,25440,2322250,2012036000,866,1
P10: November 22 to December 19,Newfoundland and Labrador,490,5690,60,5750,5478000,953,0.0102
P10: November 22 to December 19,Prince Edward Island,160,2410,20,2430,1836000,756,0.0033
P10: November 22 to December 19,Nova Scotia,930,12400,60,12460,11120000,892,0.0193
P10: November 22 to December 19,New Brunswick,700,8380,30,8410,6660000,792,0.0146
P10: November 22 to December 19,Quebec,8310,106250,1600,107850,102952000,955,0.1725
P10: November 22 to December 19,Ontario,20160,234790,1930,236720,226821000,958,0.4185
P10: November 22 to December 19,Manitoba,1370,15190,150,15340,13500000,880,0.0285
P10: November 22 to December 19,Saskatchewan,1160,12570,70,12640,10660000,843,0.024
P10: November 22 to December 19,Alberta,7850,84050,730,84780,93477000,1103,0.163
P10: November 22 to December 19,British Columbia,6950,77610,530,78140,72698000,930,0.1442
P10: November 22 to December 19,Yukon,40,440,10,450,544000,1209,0.0008
P10: November 22 to December 19,Northwest Territories,-,-,-,-,-,-,-
P10: November 22 to December 19,Nunavut,-,-,-,-,-,-,-
P10: November 22 to December 19,Missing,30,2500,150,2650,1977000,746,0.0006
P10: November 22 to December 19,Total - Period 10,48180,562580,5330,567900,548062000,965,1
Total (All Periods),Total (All Periods),2099450,         -,         -,         -,57778311000,         -,         -
,,,,,,,,
Notes:,,,,,,,,
1. Province/Territory is determined by the business address of the applicant and may not fully reflect where the economic activity took place as some businesses will have employees and/or business activity in more than one jurisdiction.,,,,,,,,
2. 'Missing' indicates that Province/Territory is not available or the business address of the applicant is outside of Canada.,,,,,,,,
3. As employers may submit a separate CEWS claim for each period the total number of employees for all periods can result in double counting if summing all periods together. As a result the totals for employee and average per employee are not displayed. The total number of applications does not represent the number of unique employers.,,,,,,,,
4. All counts are rounded to the nearest ten. Approved CEWS amounts are rounded to the nearest thousand. Average amounts are rounded to the nearest dollar.,,,,,,,,
5. The sum of the data may not add to the total due to rounding.,,,,,,,,
6. Number of employees are as reported on Line A and Line AA of the CEWS application. For periods 5 and subsequent Line A is the number of eligible active employees. Line AA is only applicable from Period 5 onward and is represented by  “-”  (not applicable) for periods 1 through 4. ,,,,,,,,
7. CEWS amounts are as calculated on Line H on the CEWS application.,,,,,,,,
8. Data were produced on January 11 2021. Data are from Canada Revenue Agency source systems as of January 10 2021 11:59:59PM.,,,,,,,,
9. A hyphen [-] indicates that the information has been suppressed for confidentiality purposes. Suppressed information also includes valid zeros.,,,,,,,,
10. Data are subject to change as claims are received reviewed and adjusted.,,,,,,,,
11. As CEWS claims can be retroactively submitted for any claim period that is open for application data for periods 1 to 10 are not yet complete.    ,,,,,,,,
